upload_date,Customer Name,Customer ID,Brokerage/Asset,Opportunity Name,Go-Live Date,Expiration Date,Award Type,Lane ID (From Bid),orig_city,orig_state,orig_zip,orig region,orig country,orig loading type,dest city,dest state,dest zip,dest region,dest country,dest unloading type,Multi_Stop,Customer Provided Miles,Equipment TYpe,Mode Type,Lane_Type,hazmat,tanker endorsement,Temp Requirements,Volume provided by customer,Volume time frame provided by customer,Truck cost,All in Customer,Awarded Linehaul,Awarded LH RPM
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,28,ELIZABETH,NJ,,,USA,LIVE,UXBRIDGE,MA,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,"$1,030.43 ","$1,144.93 ","$1,004.17 ",4.85
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,29,SAVANNAH,GA,,,USA,LIVE,MACCLENNY,FL,,,USA,LIVE,FALSE,,REEFER,FTL,Point to Point,FALSE,FALSE,,,,"$1,030.39 ","$1,212.22 ","$1,099.48 ",6.63
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,30,SAVANNAH,GA,,,USA,LIVE,PAGELAND,SC,,,USA,LIVE,FALSE,,REEFER,FTL,Point to Point,FALSE,FALSE,,,,"$1,100.00 ","$1,294.12 ","$1,142.48 ",5.12
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,31,FIFE,WA,,,USA,LIVE,SUMNER,WA,,,USA,LIVE,FALSE,,REEFER,FTL,Point to Point,FALSE,FALSE,,,,$593.95 ,$751.84 ,$747.62 ,120.58
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,32,BALTIMORE,MD,,,USA,LIVE,WINTERSVILLE,OH,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,"$1,070.51 ","$1,189.46 ","$1,000.08 ",3.59
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,33,ELIZABETH,NJ,,,USA,LIVE,MONROE TOWNSHIP,NJ,,,USA,LIVE,FALSE,,REEFER,FTL,Point to Point,FALSE,FALSE,,,,$613.36 ,$766.70 ,$745.69 ,24.13
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,34,BALTIMORE,MD,,,USA,LIVE,POTTSVILLE,PA,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,$648.04 ,$728.13 ,$637.29 ,4.77
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,35,PLANT CITY,FL,,,USA,LIVE,JACKSONVILLE,FL,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,$548.43 ,$652.89 ,$522.06 ,2.71
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,36,BOLINGBROOK,IL,,,USA,LIVE,OLNEY,IL,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,$961.28 ,"$1,068.09 ",$894.48 ,3.5
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,37,ELIZABETH,NJ,,,USA,LIVE,MIAMI,FL,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,"$3,406.32 ","$3,784.80 ","$2,918.75 ",2.29
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,38,ELIZABETH,NJ,,,USA,LIVE,CARSON,CA,,,USA,LIVE,FALSE,,REEFER,FTL,Point to Point,FALSE,FALSE,,,,"$5,088.72 ","$5,986.73 ","$4,088.51 ",1.46
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,39,MIAMI,FL,,,USA,LIVE,DEERFIELD BEACH,FL,,,USA,LIVE,FALSE,,REEFER,FTL,Point to Point,FALSE,FALSE,,,,$532.11 ,$682.19 ,$654.31 ,15.96
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,40,NORTH BRUNSWICK,NJ,,,USA,LIVE,JOHNSTOWN,NY,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,$934.62 ,"$1,038.47 ",$886.76 ,3.97
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,41,MIAMI,FL,,,USA,LIVE,OAKWOOD,GA,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,"$1,018.72 ","$1,144.63 ",$664.96 ,0.94
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,42,ELIZABETH,NJ,,,USA,LIVE,MIAMI,FL,,,USA,LIVE,FALSE,,REEFER,FTL,Point to Point,FALSE,FALSE,,,,"$4,023.84 ","$4,733.93 ","$3,867.88 ",3.04
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,43,PHILADELPHIA,PA,,,USA,LIVE,MONROE TOWNSHIP,NJ,,,USA,LIVE,FALSE,,REEFER,FTL,Point to Point,FALSE,FALSE,,,,$811.96 ,$966.62 ,$927.72 ,16.22
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,44,ELIZABETH,NJ,,,USA,LIVE,NAZARETH,PA,,,USA,LIVE,FALSE,,REEFER,FTL,Point to Point,FALSE,FALSE,,,,$802.56 ,$955.43 ,$903.00 ,11.71
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,45,CARSON,CA,,,USA,LIVE,SAN LEANDRO,CA,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,"$1,364.74 ","$1,516.38 ","$1,260.97 ",3.36
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,46,BALTIMORE,MD,,,USA,LIVE,WALKER,MI,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,"$1,573.68 ","$1,748.53 ","$1,297.01 ",1.95
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,47,NORTH BRUNSWICK,NJ,,,USA,LIVE,LEXINGTON,KY,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,"$1,596.05 ","$1,773.39 ","$1,306.70 ",1.9
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,48,BALTIMORE,MD,,,USA,LIVE,OKLAHOMA CITY,OK,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,"$2,925.00 ","$3,323.86 ","$2,421.44 ",1.82
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,49,HOUSTON,TX,,,USA,LIVE,HOUSTON,TX,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,$322.15 ,$374.59 ,$367.79 ,36.78
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,50,LINDEN,NJ,,,USA,LIVE,EDISON,NJ,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,$391.60 ,$445.00 ,$436.29 ,34.09
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,51,BOLINGBROOK,IL,,,USA,LIVE,STERLING,IL,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,$554.93 ,$630.60 ,$563.01 ,5.66
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,52,PASADENA,TX,,,USA,LIVE,SAN ANTONIO,TX,,,USA,LIVE,FALSE,,REEFER,FTL,Point to Point,FALSE,FALSE,,,,$904.81 ,"$1,064.48 ",$920.66 ,4.35
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,53,BALTIMORE,MD,,,USA,LIVE,ROCKY MOUNT,NC,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,$746.58 ,$848.39 ,$659.82 ,2.38
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,54,RINCON,GA,,,USA,LIVE,LONDON,KY,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,"$1,473.24 ","$1,636.94 ","$1,287.76 ",2.51
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,55,MOBILE,AL,,,USA,LIVE,LONDON,KY,,,USA,LIVE,FALSE,,REEFER,FTL,Point to Point,FALSE,FALSE,,,,"$1,725.00 ","$2,029.41 ","$1,618.22 ",2.68
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,56,SAN LEANDRO,CA,,,USA,LIVE,TRACY,CA,,,USA,LIVE,FALSE,,REEFER,FTL,Point to Point,FALSE,FALSE,,,,$553.90 ,$710.13 ,$680.89 ,15.83
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,57,NORTH CHARLESTON,SC,,,USA,LIVE,LONDON,KY,,,USA,LIVE,FALSE,,REEFER,FTL,Point to Point,FALSE,FALSE,,,,"$1,700.00 ","$2,000.00 ","$1,689.92 ",3.71
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,58,ELIZABETH,NJ,,,USA,LIVE,CARNEYS POINT,NJ,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,$628.05 ,$705.67 ,$635.43 ,6.15
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,59,ELIZABETH,NJ,,,USA,LIVE,HAVERHILL,MA,,,USA,LIVE,FALSE,,REEFER,FTL,Point to Point,FALSE,FALSE,,,,"$1,443.96 ","$1,698.78 ","$1,526.40 ",6.02
11/10/2022,Gellert Global Group ,,Brokerage,Atalanta  Camerican International Bid - Oct 2022,12/1/2022,12/1/2023,Rate on File,60,CARSON,CA,,,USA,LIVE,TRACY,CA,,,USA,LIVE,FALSE,,VAN,FTL,Point to Point,FALSE,FALSE,,,,"$1,181.57 ","$1,312.85 ","$1,081.31 ",3.18
